identifier	birthCountry_json	deathCountry_json
aafj001	Nederland	Nederland
aage001	Nederland	
aaks001		
aalb006		
aald006	Nederland	Nederland
aals003		
aals004		
aard002	Nederland	Nederland
aart003		
aart004	Nederland	Nederland
abel021		
abel022		
abel026		
aben001	Suriname	Monaco
aben009	Indonesië	Monaco
abic001	België (Wallonië)	
abra001	Nederland	
abra009	Nederland	
absi003	Nederland	
achi002		
acht003	Nederland	Nederland
acht007	Nederland	
acht016		
acke006	Nederland	
acke008	Nederland	Nederland
acke023	België (Wallonië)	België (Wallonië)
acke025		
acke026		
adam005	België (Wallonië)	België (Wallonië)
adam021		
adan001		
adan002	Peru	
adel001	Nederland	
ade_001	België (Wallonië)	België (Wallonië)
adin001	Indonesië	Indonesië
admi001	Nederland	Nederland
admi003		
adri003		
adri011	België (Wallonië)	België (Wallonië)
adri021		
adri068		
adri077		
ady_001	Roemenië	Hongarije
aers001	België (Wallonië)	België (Wallonië)
aert010	Nederland	
aert014		
aert033	Nederland	Nederland
aert036		
aert046		
aill004	Nederland	Nederland
aken004	België (Wallonië)	België (Wallonië)
aken008		
aker001	België (Wallonië)	
akke002	Nederland	
akke006		
alba027	Servië	
alba031		
albe001	België (Wallonië)	België (Wallonië)
albe003	Nederland	Nederland
albe004	Nederland	België (Wallonië)
albe005		
albe006		
albe009	Nederland	Nederland
albe021		
albe022		
albe024	Nederland	Nederland
albe025		
albe056	Spanje	Spanje
alde015		
alec001	België (Wallonië)	
aler001		
alet003	Nederland	Nederland
alex009	Roemenië	
ali_001	Indonesië	Nederland
ali_002	Nederland	Nederland
ali_003		
alla003	België (Wallonië)	België (Wallonië)
alla024	Nederland	
alle003	Nederland	Nederland
alof004		
alon003		
alon004		
alph001		
alph002	Nederland	Nederland
alph004		
alph012	Indonesië	Nederland
alst001	België (Wallonië)	
alte001	Nederland	Nederland
alti003	Nederland	Nederland
alti026		
alum001		
al__001		
amei001	Nederland	Nederland
amer005	Nederland	Nederland
amer008	Nederland	Nederland
amer025	Oostenrijk	Oostenrijk
amic004	Italië	Italië
amme001	Nederland	Nederland
amor002	Nederland	Nederland
amor003	Nederland	Nederland
amor004	Nederland	Nederland
amor007	Italië	Italië
ampe001	België (Wallonië)	België (Wallonië)
amst005		
amst055		
amte001	België (Wallonië)	België (Wallonië)
anbe001	Nederland	
ance001		
anco001	Nederland	
ande002	Nederland	Nederland
ande003		
ande021		
ando001	Japan	
andr007	Nederland	Nederland
andr011	België (Wallonië)	
andr022	Zwitserland	
andr028	Nederland	Nederland
andr029	Nederland	Nederland
andr030	Nederland	Nederland
andr034	Nederland	Nederland
andr036	Nederland	Nederland
andr037		
andr112	Brazilië	Brazilië
andr113		
andr114	Portugal	Portugal
andr135	België (Wallonië)	België (Wallonië)
ange002	Nederland	Indonesië
ange021		
angr001		
anib001	Nederland	
anku001	Nederland	Nederland
anns001		
annu001	Italië	Italië
anro001		
anst001	Polen	Nederland
ante001		
anto003	Italië	Groot-Brittannië (en Noord-Ierland)
anto004		
