Author	Link	identifier
Jan Engelman	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016
Willem Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024
Joep Nicolas	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008
Albert Helman	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003
Willem Nieuwenhuis	https://www.dbnl.org/auteurs/auteur.php?id=nieu047	nieu047
Karel van den Oever	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003
Wies Moens	https://www.dbnl.org/auteurs/auteur.php?id=moen007	moen007
Eduard A. Serrarens	https://www.dbnl.org/auteurs/auteur.php?id=serr010	serr010
Henk Kuitenbrouwer	https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001
Jan Bruna	https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020
Albert Kuyle	https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001
L.J.M. Feber	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001
G.P.M. Knuvelder	https://www.dbnl.org/auteurs/auteur.php?id=knuv001	knuv001
M. Bruna	https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024
Bernard Verhoeven	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038
Adr. E. Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas026	maas026
Marnix Gijsen	https://www.dbnl.org/auteurs/auteur.php?id=gijs006	gijs006
Ed. Hoornik	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009
Gerard Bruning	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008
Sybold van Ravesteyn	https://www.dbnl.org/auteurs/auteur.php?id=rave015	rave015
Piet Visser	https://www.dbnl.org/auteurs/auteur.php?id=viss154	viss154
J. Eigenhuis	https://www.dbnl.org/auteurs/auteur.php?id=eige001	eige001
Dirk Coster	https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006
Herman Teirlinck	https://www.dbnl.org/auteurs/auteur.php?id=teir001	teir001
Jan Campert	https://www.dbnl.org/auteurs/auteur.php?id=camp014	camp014
Henriette Roland Holst-van der Schalk	https://www.dbnl.org/auteurs/auteur.php?id=rola003	rola003
Jos. van der Kolk	https://www.dbnl.org/auteurs/auteur.php?id=kolk010	kolk010
C.A. Terburg	https://www.dbnl.org/auteurs/auteur.php?id=terb004	terb004
H. Marsman	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005
J.A. Dom Gregorius de Wit	https://www.dbnl.org/auteurs/auteur.php?id=wit_033	wit_033
Jean Cocteau	https://www.dbnl.org/auteurs/auteur.php?id=coct001	coct001
Wim Snitker	https://www.dbnl.org/auteurs/auteur.php?id=snit002	snit002
P.A. Kerstens	https://www.dbnl.org/auteurs/auteur.php?id=kers013	kers013
Eliseus Bruning	https://www.dbnl.org/auteurs/auteur.php?id=brun007	brun007
Willem ten Berge	https://www.dbnl.org/auteurs/auteur.php?id=berg028	berg028
Menno ter Braak	https://www.dbnl.org/auteurs/auteur.php?id=braa002	braa002
Wouter Lutkie	https://www.dbnl.org/auteurs/auteur.php?id=lutk002	lutk002
Hendrik Andriessen	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036
Kees Meekel	https://www.dbnl.org/auteurs/auteur.php?id=meek001	meek001
Pieter van der Meer de Walcheren	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001
Herman de Man	https://www.dbnl.org/auteurs/auteur.php?id=man_002	man_002
Michel de Ghelderode	https://www.dbnl.org/auteurs/auteur.php?id=ghel002	ghel002
Willem Putman	https://www.dbnl.org/auteurs/auteur.php?id=putm004	putm004
To Hölscher	https://www.dbnl.org/auteurs/auteur.php?id=hols006	hols006
Jos. Panhuijsen	https://www.dbnl.org/auteurs/auteur.php?id=panh001	panh001
Pierre Kemp	https://www.dbnl.org/auteurs/auteur.php?id=kemp005	kemp005
Paul van Ostaijen	https://www.dbnl.org/auteurs/auteur.php?id=osta002	osta002
Victor J. Brunclair	https://www.dbnl.org/auteurs/auteur.php?id=brun005	brun005
Anton van Duinkerken	https://www.dbnl.org/auteurs/auteur.php?id=duin004	duin004
Marie Koenen	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006
A. Roland Holst	https://www.dbnl.org/auteurs/auteur.php?id=rola001	rola001
N.A. Donkersloot	https://www.dbnl.org/auteurs/auteur.php?id=donk007	donk007
Roel Houwink	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008
Mathias Kemp	https://www.dbnl.org/auteurs/auteur.php?id=kemp004	kemp004
J.C. van Schagen	https://www.dbnl.org/auteurs/auteur.php?id=scha027	scha027
Henrik Scholte	https://www.dbnl.org/auteurs/auteur.php?id=scho012	scho012
A. den Doolaard	https://www.dbnl.org/auteurs/auteur.php?id=dool001	dool001
Martien Beversluis	https://www.dbnl.org/auteurs/auteur.php?id=beve004	beve004
J.J. ten Berge S.J.	https://www.dbnl.org/auteurs/auteur.php?id=berg113	berg113
Erich Wichman	https://www.dbnl.org/auteurs/auteur.php?id=wich002	wich002
Blaise Cendrars	https://www.dbnl.org/auteurs/auteur.php?id=cend001	cend001
H.W.E. Moller	https://www.dbnl.org/auteurs/auteur.php?id=moll007	moll007
Dop Bles	https://www.dbnl.org/auteurs/auteur.php?id=bles001	bles001
Hans van Zijl	https://www.dbnl.org/auteurs/auteur.php?id=zijl001	zijl001
François Villon	https://www.dbnl.org/auteurs/auteur.php?id=vill006	vill006
J. Wille	https://www.dbnl.org/auteurs/auteur.php?id=will006	will006
Henri Morel	https://www.dbnl.org/auteurs/auteur.php?id=more012	more012
J.H. Horemans	https://www.dbnl.org/auteurs/auteur.php?id=hore012	hore012
Theo Vonck	https://www.dbnl.org/auteurs/auteur.php?id=vonc002	vonc002
Lambert Melissen	https://www.dbnl.org/auteurs/auteur.php?id=meli008	meli008
