pers_id;achternaam;voornaam;voorvoegsel;omschrijving
a___002;A;Arien;;zeevarende
a___003;A;Walterus;van der;politicus/staatsman/bestuurder
a___004;A.;M.;;vertaler
aa__001;Aa;A.J.;van der;boekhandelaar
aa__001;Aa;A.J.;van der;ambtenaar
aa__001;Aa;A.J.;van der;onderwijzer (basisschool)
aa__002;Aa;Cornelis;van der;boekhandelaar
aa__002;Aa;Cornelis;van der;boekdrukker/uitgever
aa__002;Aa;Cornelis;van der;historicus/archeoloog
aa__003;Aa;P.J.B.C.;van der;advocaat/jurist
aa__004;Aa;Anthony Willemsz.;van der;advocaat/jurist
aa__008;Aa;Jan Simon;van der;advocaat/jurist
aa__008;Aa;Jan Simon;van der;ambtenaar
aa__008;Aa;Jan Simon;van der;leraar/docent/hoogleraar
aa__026;Aa;Adolf;van der;politicus/staatsman/bestuurder
aa__027;Aa;Christianus Carolus Henricus;van der;luthers predikant/leraar
aa__028;Aa;Dirk;van der;schilder
aa__029;Aa;Gerard;van der;ambtenaar
aa__029;Aa;Gerard;van der;politicus/staatsman/bestuurder
aa__031;Aa;Hillebrand;van der;beeldend kunstenaar/illustrator/tekenaar
aa__032;Aa;Jacob;van der;schilder
aa__036;Aa;Philips;van der;politicus/staatsman/bestuurder
aa__037;Aa;Pieter Boudewijnszn.;van der;boekdrukker/uitgever
aa__038;Aa;Willem;van der;ambtenaar
aa__038;Aa;Willem;van der;advocaat/jurist
aa__038;Aa;Willem;van der;historicus/archeoloog
aa__040;Aa;Charles Menard Adelaide Simon;van der;advocaat/jurist
aa__042;Aa;Hendrik;van der;beeldend kunstenaar/illustrator/tekenaar
aa__044;Aa;Pieter;van der;advocaat/jurist
aa__045;Aa;Pieter;van der;boekhandelaar
aafj001;Aafjes;Bertus;;journalist/redacteur
aafj001;Aafjes;Bertus;;vertaler
aafj002;Aafjes;Sijtje;;beeldend kunstenaar/illustrator/tekenaar
aafj002;Aafjes;Sijtje;;onderwijzer (basisschool)
aafj003;Aafjes;Edwin;;beeldend kunstenaar/illustrator/tekenaar
aage001;Aagen-Moro;Taï;;schilder
aake001;Aaken;Jacob;van;ambachtsman
aake003;Aakeson;Kim Fobian;;beeldend kunstenaar/illustrator/tekenaar
aalb001;Aalbers;Ben;;beeldend kunstenaar/illustrator/tekenaar
aalb004;Aalbers;N.S.;;zeevarende
aalb004;Aalbers;N.S.;;militair/officier
aalb009;Aalbregtse;Maarten Adriaan;;leraar/docent/hoogleraar
aald002;Aalders;G.J.D.;;classicus
aald005;Aalders;Hein;;journalist/redacteur
aald006;Aalders;W.J.;;leraar/docent/hoogleraar
aald008;Aalders;J.C.;;herv./geref. predikant/leraar
aald009;Aalders;Lona;;fotograaf
aalm001;Aalmis;Johannes;;ambachtsman
aalm002;Aalmis;Johan Bartholomeus;;ambachtsman
aalm003;Aalmis;Pieter Jansz.;;ambachtsman
aalm004;Aalmis;Johannes;;ambachtsman
aals005;Aalst;Gerardus;van;herv./geref. predikant/leraar
aals006;Aalst;Jan Leendertsz.;van;onderwijzer (basisschool)
aals006;Aalst;Jan Leendertsz.;van;herv./geref. predikant/leraar
aals007;Aalst;Willem;van;rk-geestelijke/kloosterling
aals007;Aalst;Willem;van;leraar/docent/hoogleraar
aals008;Aalstius;Johannes;;herv./geref. predikant/leraar
aals008;Aalstius;Johannes;;filosoof
aals009;Aalstius;Joannes;;herv./geref. predikant/leraar
aals009;Aalstius;Joannes;;vertaler
aals011;Aalst;Evert;van;schilder
aals012;Aalst of Aalts;Filips;van;politicus/staatsman/bestuurder
aals013;Aalst;Willem;van;schilder
aals014;Aalst of Aalts;Pieter;van;politicus/staatsman/bestuurder
aals015;Aalst;Ankie;van;vertaler
aals017;Aalstius;Henricus;;herv./geref. predikant/leraar
aals019;Aalst;Patrick;van der;rk-geestelijke/kloosterling
aalt004;Aaltz;Allard;;boekhandelaar
aalt004;Aaltz;Allard;;boekdrukker/uitgever
aang002;Aangium;Sibe;van;herv./geref. predikant/leraar
aani001;Aaninck;Th.;;politicus/staatsman/bestuurder
aans002;Aansorgh;J.M.J.;;advocaat/jurist
aant001;Aantjes;Willem;;politicus/staatsman/bestuurder
aard002;Aardweg;H.P.;van den;vertaler
aard004;Aardenburg;H.;van;rk-geestelijke/kloosterling
aard005;Aardenburg;P.;van;militair/officier
aard005;Aardenburg;P.;van;zeevarende
aard006;Aardse;Karel;;leraar/docent/hoogleraar
aard011;Aardenne;Gijs;van;politicus/staatsman/bestuurder
aarn002;Aarnout;Ralph;;vertaler
aars001;Aarsman;Hans;;beeldend kunstenaar/illustrator/tekenaar
aars003;Aarschot;R.;van;rk-geestelijke/kloosterling
aart001;Aarts;C.J.;;boekdrukker/uitgever
aart004;Aarts;Flor;;letterkundige (NIET-neerl.)
aart005;Aartman;A.;;beeldend kunstenaar/illustrator/tekenaar
aart006;Aartman;N.;;beeldend kunstenaar/illustrator/tekenaar
aart007;Aarts;Jacobus;;rk-geestelijke/kloosterling
aart008;Aarts;Joannes Jacobus;;rk-geestelijke/kloosterling
aart008;Aarts;Joannes Jacobus;;leraar/docent/hoogleraar
