Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
Jan Engelman	7 juni 1900	1900-06-07	Utrecht	Utrecht	20 maart 1972	1972-03-20	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016	Johannes Aloysius Antonius	Engelman	Jan Engelman	redacteur/journalist/vertaler	Utrecht	Utrecht	6/7/1900	1900-06-07	Amsterdam	Amsterdam	3/20/1972	1972-03-20	male	Utrecht	Utrecht			Amsterdam	Amsterdam			Twintigste Eeuw	7 juni 1900	1900-06-07	20 maart 1972	1972-03-20	nl	secundair/nonfictie	redacteur/journalist/vertaler	
Willem Maas	28 april 1897	1897-04-28	Utrecht	Utrecht	6 mei 1950	1950-05-06	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024	Willem Arnoldus	Maas	Willem Maas	illustrator/tekenaar/beeldend kunstenaar	Utrecht	Utrecht	1897-04-28	1897-04-28	Utrecht	Utrecht	5/6/1950	1950-05-06	male	Utrecht	Utrecht			Utrecht	Utrecht			Twintigste Eeuw	28 april 1897	1897-04-28	6 mei 1950	1950-05-06			illustrator/tekenaar/beeldend kunstenaar	
Joep Nicolas	6 oktober 1897	1897-10-06			25 juli 1972	1972-07-25	Steyl	Steyl	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008	Josephus Antonius Hubertus Franciscus	Nicolas	Joep Nicolas	schilder/ambachtsman	Roermond	Roermond	1897-10-06	1897-10-06	Steyl	Steyl	7/25/1972	1972-07-25	male	Roermond	Roermond			Steyl	Steyl			Twintigste Eeuw	6 oktober 1897	1897-10-06	25 juli 1972	1972-07-25		nonfictie	schilder/ambachtsman	
Albert Helman	7 november 1903	1903-11-07	Paramaribo	Paramaribo	10 juli 1996	1996-07-10	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003	Albert	Helman	Albert Helman/Beckmesser/Brandaris/Floris Kapteyn/Friedrich Nietzsche/Hella Bentram-Matriotte/Hypertonides/J.B. Tenoten/Jo Jaspers/Joost van den Vondel/Lodewijk Alphonsus Maria Lichtveld/Lou Lichtveld/Louis Lightfield/N. Slob/Rolf Keuler	musicus/journalist/politicus/redacteur/staatsman/jongleur/minstreel/bestuurder	Paramaribo	Paramaribo	11/7/1903	1903-11-07	Amsterdam	Amsterdam	7/10/1996	1996-07-10	male	Paramaribo	Paramaribo	Suriname	Suriname	Amsterdam	Amsterdam			Twintigste Eeuw	7 november 1903	1903-11-07	10 juli 1996	1996-07-10	nl	jeugdliteratuur/nonfictie/suriname/buitenland	musicus/journalist/redacteur/staatsman/jongleur/minstreel/politicus/bestuurder	
Willem Nieuwenhuis	1886	1886-xx-xx			1935	1935-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=nieu047	nieu047	Willem	Nieuwenhuis	Willem Nieuwenhuis				1886	1886-xx-xx			1935	1935-xx-xx	male									Twintigste Eeuw	1886	1886-xx-xx	1935	1935-xx-xx	nl			
Karel van den Oever	19 november 1879	1879-11-19	Antwerpen	Antwerpen	6 oktober 1926	1926-10-06	Antwerpen	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003	Karel	van den Oever	Karel van den Oever	arbeider/werkman	Antwerpen	Antwerpen	1879-11-19	1879-11-19	Antwerpen	Antwerpen	10/6/1926	1926-10-06	male	Antwerpen	Antwerpen			Antwerpen	Antwerpen			Twintigste Eeuw	19 november 1879	1879-11-19	6 oktober 1926	1926-10-06	nl	secundair/jeugdliteratuur	arbeider/werkman	
Wies Moens	28 januari 1898	1898-01-28	Sint-Gillis-Bij-Dendermonde	Sint-Gillis-Bij-Dendermonde	5 februari 1982	1982-02-05	Geleen	Geleen	https://www.dbnl.org/auteurs/auteur.php?id=moen007	moen007	Aloys Caesar Antoon	Moens	Wies Moens		Sint-Gillis-Bij-Dendermonde	Sint-Gillis-Bij-Dendermonde	1898-01-28	1898-01-28	Geleen	Geleen	2/5/1982	1982-02-05	male	Sint-Gillis-Bij-Dendermonde	Sint-Gillis-Bij-Dendermonde			Geleen	Geleen			Twintigste Eeuw	28 januari 1898	1898-01-28	5 februari 1982	1982-02-05	nl	secundair		
Eduard A. Serrarens	27 december 1895	1895-12-27	Maastricht	Maastricht	25 november 1955	1955-11-25	Roermond	Roermond	https://www.dbnl.org/auteurs/auteur.php?id=serr010	serr010	Eduard A.	Serrarens	Eduard A. Serrarens	leraar/docent/hoogleraar	Maastricht	Maastricht	1895-12-27	1895-12-27	Roermond	Roermond	11/25/1955	1955-11-25	male	Maastricht	Maastricht			Roermond	Roermond			Twintigste Eeuw	27 december 1895	1895-12-27	25 november 1955	1955-11-25	nl	secundair	leraar/docent/hoogleraar	
Henk Kuitenbrouwer	20 november 1903	1903-11-20			3 augustus 1974	1974-08-03			https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001	Carel Hendrik Gerhardus Maria	Kuitenbrouwer	Henk Kuitenbrouwer	onderwijzer (basisschool)/redacteur/journalist	Utrecht	Utrecht	11/20/1903	1903-11-20	Utrecht	Utrecht	8/3/1974	1974-08-03	male	Utrecht	Utrecht			Utrecht	Utrecht			Twintigste Eeuw	20 november 1903	1903-11-20	3 augustus 1974	1974-08-03		jeugdliteratuur	onderwijzer (basisschool)/redacteur/journalist	
Jan Bruna	17 augustus 1876	1876-08-17			11 maart 1931	1931-03-11			https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020	Jan	Bruna	Jan Bruna	redacteur/journalist			1876-08-17	1876-08-17			3/11/1931	1931-03-11	male									Twintigste Eeuw	17 augustus 1876	1876-08-17	11 maart 1931	1931-03-11	nl	secundair	redacteur/journalist	
Albert Kuyle	17 februari 1904	1904-02-17			4 maart 1958	1958-03-04			https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001	Louis Maria Albertus	Kuyle	Albert Kuyle/L.M.A Kuitenbrouwer	uitgever/boekdrukker/redacteur/journalist	Utrecht	Utrecht	2/27/1904	1904-02-27	Utrecht	Utrecht	3/4/1958	1958-03-04	male	Utrecht	Utrecht			Utrecht	Utrecht			Twintigste Eeuw	27 februari 1904	1904-02-27	4 maart 1958	1958-03-04	nl	jeugdliteratuur	uitgever/boekdrukker/redacteur/journalist	
