Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Jan Engelman	7 juni 1900	Utrecht	20 maart 1972	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016	Johannes Aloysius Antonius	Engelman	Jan Engelman	redacteur/journalist/vertaler	Utrecht	6/7/1900	Amsterdam	3/20/1972	male
Willem Maas	28 april 1897	Utrecht	6 mei 1950	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024	Willem Arnoldus	Maas	Willem Maas	illustrator/tekenaar/beeldend kunstenaar	Utrecht	1897-04-28	Utrecht	5/6/1950	male
Joep Nicolas	6 oktober 1897		25 juli 1972	Steyl	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008	Josephus Antonius Hubertus Franciscus	Nicolas	Joep Nicolas	schilder/ambachtsman	Roermond	1897-10-06	Steyl	7/25/1972	male
Albert Helman	7 november 1903	Paramaribo	10 juli 1996	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003	Albert	Helman	Albert Helman/Beckmesser/Brandaris/Floris Kapteyn/Friedrich Nietzsche/Hella Bentram-Matriotte/Hypertonides/J.B. Tenoten/Jo Jaspers/Joost van den Vondel/Lodewijk Alphonsus Maria Lichtveld/Lou Lichtveld/Louis Lightfield/N. Slob/Rolf Keuler	musicus/journalist/politicus/redacteur/staatsman/jongleur/minstreel/bestuurder	Paramaribo	11/7/1903	Amsterdam	7/10/1996	male
Willem Nieuwenhuis	1886		1935		https://www.dbnl.org/auteurs/auteur.php?id=nieu047	nieu047	Willem	Nieuwenhuis	Willem Nieuwenhuis			1886		1935	male
Karel van den Oever	19 november 1879	Antwerpen	6 oktober 1926	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003	Karel	van den Oever	Karel van den Oever	arbeider/werkman	Antwerpen	1879-11-19	Antwerpen	10/6/1926	male
Wies Moens	28 januari 1898	Sint-Gillis-Bij-Dendermonde	5 februari 1982	Geleen	https://www.dbnl.org/auteurs/auteur.php?id=moen007	moen007	Aloys Caesar Antoon	Moens	Wies Moens		Sint-Gillis-Bij-Dendermonde	1898-01-28	Geleen	2/5/1982	male
Eduard A. Serrarens	27 december 1895	Maastricht	25 november 1955	Roermond	https://www.dbnl.org/auteurs/auteur.php?id=serr010	serr010	Eduard A.	Serrarens	Eduard A. Serrarens	leraar/docent/hoogleraar	Maastricht	1895-12-27	Roermond	11/25/1955	male
Henk Kuitenbrouwer	20 november 1903		3 augustus 1974		https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001	Carel Hendrik Gerhardus Maria	Kuitenbrouwer	Henk Kuitenbrouwer	onderwijzer (basisschool)/redacteur/journalist	Utrecht	11/20/1903	Utrecht	8/3/1974	male
Jan Bruna	17 augustus 1876		11 maart 1931		https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020	Jan	Bruna	Jan Bruna	redacteur/journalist		1876-08-17		3/11/1931	male
Albert Kuyle	17 februari 1904		4 maart 1958		https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001	Louis Maria Albertus	Kuyle	Albert Kuyle/L.M.A Kuitenbrouwer	uitgever/boekdrukker/redacteur/journalist	Utrecht	2/27/1904	Utrecht	3/4/1958	male
L.J.M. Feber	24 april 1885	Bergen op Zoom	3 juli 1964	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001	Louis Jean Marie	Feber	L.J.M. Feber	architect/bouwkundig ingenieur/journalist/bouwmeester/redacteur/militair/staatsman/bestuurder/politicus/officier	Bergen op Zoom	1885-04-24	Den Haag	7/3/1964	male
G.P.M. Knuvelder	25 januari 1902	Arnhem	29 juni 1982	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=knuv001	knuv001	Gerard	Knuvelder	G.P.M. Knuvelder	onderwijzer (basisschool)	Arnhem	1/25/1902	Eindhoven	6/29/1982	male
M. Bruna	30 januari 1903				https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024	Michaël Albertus (Miech)	Bruna	M. Bruna	wiskundige/natuurwetenschapper	Utrecht	1/30/1903			male
Bernard Verhoeven	29 april 1897	Arnhem	4 juni 1965	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038	Bernardus Johannes	Verhoeven	Bernard Verhoeven		Arnhem	1897-04-29	Arnhem	6/4/1965	male
Adr. E. Maas	6 januari 1817	Rotterdam	3 juli 1886	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=maas026	maas026	Adrien Eugène	Maas	Adr. E. Maas		Rotterdam	1817-01-06	Scheveningen	1886-07-03	male
