Author	DOB	POB	DOD	POD	Link	identifier
Jan Engelman	7 juni 1900	Utrecht	20 maart 1972	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016
Willem Maas	28 april 1897	Utrecht	6 mei 1950	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024
Joep Nicolas	6 oktober 1897		25 juli 1972	Steyl	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008
Albert Helman	7 november 1903	Paramaribo	10 juli 1996	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003
Willem Nieuwenhuis	1886		1935		https://www.dbnl.org/auteurs/auteur.php?id=nieu047	nieu047
Karel van den Oever	19 november 1879	Antwerpen	6 oktober 1926	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=oeve003	oeve003
Wies Moens	28 januari 1898	Sint-Gillis-Bij-Dendermonde	5 februari 1982	Geleen	https://www.dbnl.org/auteurs/auteur.php?id=moen007	moen007
Eduard A. Serrarens	27 december 1895	Maastricht	25 november 1955	Roermond	https://www.dbnl.org/auteurs/auteur.php?id=serr010	serr010
Henk Kuitenbrouwer	20 november 1903		3 augustus 1974		https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001
Jan Bruna	17 augustus 1876		11 maart 1931		https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020
Albert Kuyle	17 februari 1904		4 maart 1958		https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001
L.J.M. Feber	24 april 1885	Bergen op Zoom	3 juli 1964	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=febe001	febe001
G.P.M. Knuvelder	25 januari 1902	Arnhem	29 juni 1982	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=knuv001	knuv001
M. Bruna	30 januari 1903				https://www.dbnl.org/auteurs/auteur.php?id=brun024	brun024
Bernard Verhoeven	29 april 1897	Arnhem	4 juni 1965	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=verh038	verh038
Adr. E. Maas	6 januari 1817	Rotterdam	3 juli 1886	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=maas026	maas026
Marnix Gijsen	20 oktober 1899	Antwerpen	29 september 1984	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=gijs006	gijs006
Ed. Hoornik	9 maart 1910	Den Haag	1 maart 1970	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hoor009	hoor009
Gerard Bruning	18 februari 1898	Amsterdam	8 oktober 1926	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun008	brun008
Sybold van Ravesteyn	18 februari 1889		23 november 1983	Laren	https://www.dbnl.org/auteurs/auteur.php?id=rave015	rave015
Piet Visser	1898				https://www.dbnl.org/auteurs/auteur.php?id=viss154	viss154
J. Eigenhuis	1866		16 oktober 1944		https://www.dbnl.org/auteurs/auteur.php?id=eige001	eige001
Dirk Coster	7 juli 1887		8 oktober 1956		https://www.dbnl.org/auteurs/auteur.php?id=cost006	cost006
Herman Teirlinck	24 februari 1879		4 februari 1967		https://www.dbnl.org/auteurs/auteur.php?id=teir001	teir001
Jan Campert	15 augustus 1902		12 januari 1943		https://www.dbnl.org/auteurs/auteur.php?id=camp014	camp014
Henriette Roland Holst-van der Schalk	24 december 1869		21 november 1952		https://www.dbnl.org/auteurs/auteur.php?id=rola003	rola003
Jos. van der Kolk	1879		1930		https://www.dbnl.org/auteurs/auteur.php?id=kolk010	kolk010
C.A. Terburg	1892		1970		https://www.dbnl.org/auteurs/auteur.php?id=terb004	terb004
H. Marsman	30 september 1899	Zeist	21 juni 1940	Het Kanaal	https://www.dbnl.org/auteurs/auteur.php?id=mars005	mars005
J.A. Dom Gregorius de Wit	9 juni 1892	Hilversum	1978	Visp	https://www.dbnl.org/auteurs/auteur.php?id=wit_033	wit_033
Jean Cocteau	5 juli 1889	Maisons-Laffitte	11 oktober 1963	Milly-la-Forêt	https://www.dbnl.org/auteurs/auteur.php?id=coct001	coct001
Wim Snitker	1901		1950		https://www.dbnl.org/auteurs/auteur.php?id=snit002	snit002
P.A. Kerstens	23 augustus 1896		8 oktober 1958		https://www.dbnl.org/auteurs/auteur.php?id=kers013	kers013
Eliseus Bruning	25 november 1892	Geldrop	31 mei 1958	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=brun007	brun007
Willem ten Berge	3 juli 1903	Leens	12 mei 1969	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=berg028	berg028
Menno ter Braak	26 januari 1902	Eibergen	15 mei 1940	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=braa002	braa002
Wouter Lutkie	23 februari 1887	Hertogenbosch	23 januari 1968	Nuland	https://www.dbnl.org/auteurs/auteur.php?id=lutk002	lutk002
Hendrik Andriessen	17 september 1892	Haarlem	12 april 1981	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036
Kees Meekel	7 oktober 1883	Amstelveen	25 november 1953	Bachellerie	https://www.dbnl.org/auteurs/auteur.php?id=meek001	meek001
Pieter van der Meer de Walcheren	10 september 1880	Utrecht	16 december 1970	Breda	https://www.dbnl.org/auteurs/auteur.php?id=meer001	meer001
Herman de Man	11 juli 1898	Woerden	14 november 1946	Schiphol	https://www.dbnl.org/auteurs/auteur.php?id=man_002	man_002
Michel de Ghelderode	3 april 1898	Elsene	1 april 1962	Schaarbeek	https://www.dbnl.org/auteurs/auteur.php?id=ghel002	ghel002
Willem Putman	7 juni 1900	Waregem	3 september 1954	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=putm004	putm004
To Hölscher	16 januari 1898	Helmond	9 december 1953	Helmond	https://www.dbnl.org/auteurs/auteur.php?id=hols006	hols006
Jos. Panhuijsen	13 mei 1900	Tilburg	21 januari 1986	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=panh001	panh001
Pierre Kemp	1 december 1886	Maastricht	21 juli 1967	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp005	kemp005
Paul van Ostaijen	22 februari 1896	Antwerpen	18 maart 1928	Miavoye-Anthée	https://www.dbnl.org/auteurs/auteur.php?id=osta002	osta002
Victor J. Brunclair	18 oktober 1899	Antwerpen	21 november 1944	Lagelund (Sleeswijk-Holstein)	https://www.dbnl.org/auteurs/auteur.php?id=brun005	brun005
Anton van Duinkerken	2 januari 1903	Bergen op Zoom	27 juli 1968	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=duin004	duin004
Marie Koenen	19 januari 1879	's-Hertogenbosch	10 juli 1959	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=koen006	koen006
A. Roland Holst	23 mei 1888	Amsterdam	6 augustus 1976	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=rola001	rola001
N.A. Donkersloot	8 september 1902	Rotterdam	26 december 1965	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=donk007	donk007
Roel Houwink	17 januari 1899	Breda	3 juni 1987	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=houw008	houw008
Mathias Kemp	31 december 1890	Maastricht	7 augustus 1964	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=kemp004	kemp004
J.C. van Schagen	11 december 1891	Vlissingen	17 april 1985	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=scha027	scha027
Henrik Scholte	25 januari 1903	Groningen	28 mei 1988	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=scho012	scho012
A. den Doolaard	7 februari 1901	Zwolle	26 juni 1994	Hoenderloo	https://www.dbnl.org/auteurs/auteur.php?id=dool001	dool001
